class1,class2,class3,class4,class5,class6,class7,class8,class9,ID
0.11026450246572495,0.02480630949139595,0.0162662323564291,0.7697569131851196,0.03311324864625931,0.028322437778115273,0.01269637793302536,0.002311880234628916,0.002462086733430624,1
0.9686274528503418,0.0044195326045155525,0.0007338299183174968,0.004543364979326725,0.0007620853139087558,0.0016025090590119362,0.018479321151971817,0.0005674820858985186,0.00026441982481628656,2
0.1008002907037735,0.21237456798553467,0.005344661884009838,0.32529574632644653,0.014687309972941875,0.030720403417944908,0.30556434392929077,0.002703377278521657,0.002509377198293805,3
0.1370333880186081,0.26529568433761597,0.005504158791154623,0.38164785504341125,0.012367203831672668,0.015119527466595173,0.17450843751430511,0.004006860312074423,0.004516860004514456,4
0.01076948456466198,0.07231303304433823,0.0034149002749472857,0.030958231538534164,0.011939898133277893,0.007350603584200144,0.8605538606643677,0.001427173032425344,0.0012728304136544466,5
0.3652840554714203,0.06816122680902481,0.013453656807541847,0.39621853828430176,0.02841528132557869,0.020167222246527672,0.10124890506267548,0.004329998977482319,0.002721094759181142,6
0.014677737839519978,0.10671335458755493,0.012242712080478668,0.051422495394945145,0.028819704428315163,0.011742930859327316,0.7700322866439819,0.002537223044782877,0.0018116089049726725,7
0.20761732757091522,0.06036708876490593,0.013525557704269886,0.5498638153076172,0.05265695974230766,0.04115650802850723,0.06952027231454849,0.002639402635395527,0.002653063740581274,8
0.11821562051773071,0.029369989410042763,0.0036278502084314823,0.8125374913215637,0.013446083292365074,0.00478892307728529,0.015689704567193985,0.0013095306931063533,0.001014751847833395,9
0.00931877177208662,0.015666741877794266,0.3610599637031555,0.017134403809905052,0.017652053385972977,0.005238437559455633,0.5711033940315247,0.0013342291349545121,0.0014920670073479414,10
0.14722636342048645,0.0759010761976242,0.011840108782052994,0.595534086227417,0.03224358707666397,0.01690099574625492,0.11216932535171509,0.0037683495320379734,0.004416069947183132,11
0.004460528027266264,0.9128481149673462,0.002675604773685336,0.004192816559225321,0.005098470486700535,0.002970682457089424,0.06660912185907364,0.0005436509964056313,0.0006010067882016301,12
0.8936032056808472,0.0054480512626469135,0.004649829585105181,0.028607454150915146,0.04704349488019943,0.010029744356870651,0.007057616021484137,0.00180598977021873,0.001754623488523066,13
0.0076878988184034824,0.045231107622385025,0.005575576797127724,0.014785856008529663,0.009039418771862984,0.0071045756340026855,0.9081299901008606,0.0013875392032787204,0.0010580593952909112,14
0.04231436923146248,0.6365189552307129,0.004572551231831312,0.02972189150750637,0.0323166698217392,0.027970915660262108,0.21916663646697998,0.005867287516593933,0.0015506852651014924,15
0.5058937072753906,0.09426253288984299,0.0659179612994194,0.09288521111011505,0.09104252606630325,0.05869252234697342,0.07135184109210968,0.014950324781239033,0.005003332160413265,16
